Zip-Code; Neighborhood; Street; Latitude; Longitude; FloodQuota
89053-652; Itoupava norte; Rua Estelita Maria Correa
89053-184; Itoupava norte; Rua Evilasio Oechsler
89052-475; Itoupava norte; Rua Fernando de Souza e Silva
89053-665; Itoupava norte; Rua Gilda Nascimento David
89053-282; Itoupava norte; Rua Hans Gert Jehle
89053-654; Itoupava norte; Rua Jadir da Silva
89053-607; Itoupava norte; Rua Joao Jose Pasinato
89053-603; Itoupava norte; Rua Jose Antonio Voltolini
89053-606; Itoupava norte; Rua Judith Matilde dos Santos
89053-649; Itoupava norte; Rua Leonel Pedro Fernandes
89053-331; Itoupava norte; Rua Lidia Correa Tobias
89052-252; Itoupava norte; Rua Lilli Frederica Mandel
89053-114; Itoupava norte; Rua Manoel Silva
89052-580; Itoupava norte; Rua Maria Schlei
89053-609; Itoupava norte; Rua Olivia Rautemberg
89053-657; Itoupava norte; Rua Robson dos Santos
89053-647; Itoupava norte; Rua Sergio Alves
89053-653; Itoupava norte; Rua Vanderlei Verrel
89053-658; Itoupava norte; Rua Vilmar Eugenio
89030-125; Itoupava seca; Rua Guilherme Friedenreich
89070-536; Itoupavazinha; Rua Adenilson Teles dos Santos
89066-690; Itoupavazinha; Rua Alvin Schwanke
89066-478; Itoupavazinha; Rua Arinoldo Vellwock
89066-652; Itoupavazinha; Rua Arno Ewald
89066-565; Itoupavazinha; Rua Dalia Maria Zomer
89066-687; Itoupavazinha; Rua Edmund Hackbarth
89066-691; Itoupavazinha; Rua Egydio Berkembrock
89066-256; Itoupavazinha; Rua Eleut Seiler
89066-546; Itoupavazinha; Rua Elfonso Dickmann
89066-611; Itoupavazinha; Rua Fridolino de Souza
89066-553; Itoupavazinha; Rua Germano Weigduschath
89066-607; Itoupavazinha; Rua Gustavo Rautenberg
89066-061; Itoupavazinha; Rua Gustavo Rutzen
89066-368; Itoupavazinha; Rua Helena Zibell
89066-697; Itoupavazinha; Rua Helmut Baehr
89066-523; Itoupavazinha; Rua Irineu Francisco da Silva
89074-376; Itoupavazinha; Rua Jacob Schaeffer
89066-321; Itoupavazinha; Rua Jardim Germanico
89066-386; Itoupavazinha; Rua Lotario Frederico Dennebrock
89066-606; Itoupavazinha; Rua Nestor Francisco Marcos
89066-560; Itoupavazinha; Rua Regina Sacani Backmann
89066-482; Itoupavazinha; Rua Renata Wetzsyein
89066-552; Itoupavazinha; Rua Simone Adriana Drager
89010-305; Jardim blumenau; Praca do Boticario
